job,count
nég.,32
avocat,15
négoc.,14
dentiste,14
cordonn.,12
tabacs,12
coiffeur,11
coiff.,11
menuis.,10
primeurs,9
not.,8
tailleur,7
laitier,7
cordonnier,7
modiste,6
libraire,6
cordon.,6
notaire,6
imprim.,6
épicier,5
horloger,5
serrurier,5
photogr.,5
avoc.,5
horlog.,5
appar.,5
peintre,5
architecte,4
ébéniste,4
corsets,4
meubles,4
gérant,4
mécanicien,3
négociant,3
archit.,3
bouch.,3
boucherie,3
march. de vins,3
ing.,3
cuirs,3
industriel,3
boulanger,3
dent.,3
imprimeur,3
reprès.,3
fils,3
tissus,3
blanchisseuse,3
ag. d'aff.,3
épic.,3
